case,step,subdivision_level,displacement,displacement_um,load_increment,reaction_y
Homogeneous displacement,25,6,2.9437500000000007e-05,0.02943750000000001,3.125000000000076e-08,12.389044461186764
Homogeneous displacement,26,6,2.9468750000000008e-05,0.02946875000000001,3.125000000000076e-08,12.401641505290833
Homogeneous displacement,27,6,2.950000000000001e-05,0.02950000000000001,3.125000000000076e-08,12.414235876099424
Homogeneous displacement,28,6,2.9531250000000006e-05,0.029531250000000005,3.124999999999737e-08,12.426827562302838
Homogeneous displacement,29,6,2.9562500000000007e-05,0.029562500000000005,3.125000000000076e-08,12.439416552516931
Homogeneous displacement,30,6,2.9593750000000008e-05,0.02959375000000001,3.125000000000076e-08,12.45200283528265
Homogeneous displacement,31,6,2.962500000000001e-05,0.02962500000000001,3.125000000000076e-08,12.464586399042892
Homogeneous displacement,32,6,2.965625000000001e-05,0.02965625000000001,3.125000000000076e-08,12.47716723219379
Homogeneous displacement,33,6,2.9687500000000007e-05,0.029687500000000006,3.124999999999737e-08,12.48974532302242
Homogeneous displacement,34,6,2.9718750000000007e-05,0.02971875000000001,3.125000000000076e-08,12.50232065975463
Homogeneous displacement,35,6,2.9750000000000008e-05,0.02975000000000001,3.125000000000076e-08,12.514893230517526
Homogeneous displacement,36,6,2.978125000000001e-05,0.02978125000000001,3.125000000000076e-08,12.527463023373391
Homogeneous displacement,37,6,2.9812500000000006e-05,0.029812500000000006,3.124999999999737e-08,12.540030026292513
Homogeneous displacement,38,6,2.9843750000000007e-05,0.029843750000000006,3.125000000000076e-08,12.552594227155335
Homogeneous displacement,39,6,2.9875000000000008e-05,0.02987500000000001,3.125000000000076e-08,12.565155613774644
Homogeneous displacement,40,6,2.990625000000001e-05,0.02990625000000001,3.125000000000076e-08,12.57771417386343
Homogeneous displacement,41,8,2.991406250000001e-05,0.02991406250000001,7.812499999997649e-09,12.580852764847474
Homogeneous displacement,42,8,2.9921875000000007e-05,0.029921875000000007,7.812500000001037e-09,12.583991770214713
Homogeneous displacement,43,8,2.992968750000001e-05,0.02992968750000001,7.812500000001037e-09,12.587130607768891
Homogeneous displacement,44,8,2.993750000000001e-05,0.02993750000000001,7.812500000001037e-09,12.590269267495152
EBSD graph hybrid path,1,0,2.0000000000000003e-06,0.0020000000000000005,2.0000000000000003e-06,0.8550368460090614
EBSD graph hybrid path,2,0,4.000000000000001e-06,0.004000000000000001,2.0000000000000003e-06,1.7096609336939743
EBSD graph hybrid path,3,0,6.000000000000001e-06,0.006000000000000001,2.0000000000000003e-06,2.5634503536082214
EBSD graph hybrid path,4,0,8.000000000000001e-06,0.008000000000000002,2.0000000000000003e-06,3.4159615685631843
EBSD graph hybrid path,5,1,9.000000000000002e-06,0.009000000000000001,1.0000000000000006e-06,3.8415908771599376
EBSD graph hybrid path,6,1,1.0000000000000004e-05,0.010000000000000004,1.0000000000000006e-06,4.266718485774754
EBSD graph hybrid path,7,0,1.2000000000000002e-05,0.012000000000000002,1.9999999999999995e-06,5.115191994789108
EBSD graph hybrid path,8,1,1.3e-05,0.013,9.99999999999999e-07,5.538386968743998
EBSD graph hybrid path,9,2,1.35e-05,0.0135,5.000000000000003e-07,5.74968761996278
EBSD graph hybrid path,10,2,1.4e-05,0.014,5.000000000000003e-07,5.960775385376745
EBSD graph hybrid path,11,1,1.5000000000000002e-05,0.015000000000000003,1.0000000000000006e-06,6.382262101297112
EBSD graph hybrid path,12,8,1.5007812500000005e-05,0.015007812500000006,7.812500000001037e-09,6.385551312869144
EBSD graph hybrid path,13,8,1.5015625000000002e-05,0.015015625000000003,7.812499999999343e-09,6.3888402981153245
EBSD graph hybrid path,14,8,1.5023437500000002e-05,0.015023437500000002,7.812499999999343e-09,6.392129220015352
EBSD graph hybrid path,15,8,1.5031250000000005e-05,0.015031250000000005,7.812500000001037e-09,6.3954180802741085
